Vardas	Pavarde	Vidurkis < 5
Vardas393	Pavarde393	3.08
Vardas3	Pavarde3	3.08
Vardas646	Pavarde646	3.08
Vardas85	Pavarde85	3.12
Vardas9	Pavarde9	3.12
Vardas772	Pavarde772	3.12
Vardas619	Pavarde619	3.12
Vardas939	Pavarde939	3.12
Vardas519	Pavarde519	3.16
Vardas843	Pavarde843	3.16
Vardas809	Pavarde809	3.16
Vardas429	Pavarde429	3.16
Vardas675	Pavarde675	3.16
Vardas852	Pavarde852	3.16
Vardas63	Pavarde63	3.20
Vardas151	Pavarde151	3.20
Vardas490	Pavarde490	3.20
Vardas985	Pavarde985	3.20
Vardas172	Pavarde172	3.20
Vardas966	Pavarde966	3.24
Vardas101	Pavarde101	3.24
Vardas384	Pavarde384	3.24
Vardas895	Pavarde895	3.24
Vardas705	Pavarde705	3.24
Vardas647	Pavarde647	3.24
Vardas426	Pavarde426	3.24
Vardas391	Pavarde391	3.24
Vardas102	Pavarde102	3.28
Vardas494	Pavarde494	3.28
Vardas88	Pavarde88	3.28
Vardas634	Pavarde634	3.28
Vardas958	Pavarde958	3.28
Vardas239	Pavarde239	3.28
Vardas95	Pavarde95	3.32
Vardas788	Pavarde788	3.32
Vardas795	Pavarde795	3.32
Vardas420	Pavarde420	3.32
Vardas643	Pavarde643	3.32
Vardas259	Pavarde259	3.36
Vardas750	Pavarde750	3.36
Vardas314	Pavarde314	3.36
Vardas886	Pavarde886	3.36
Vardas747	Pavarde747	3.36
Vardas530	Pavarde530	3.36
Vardas673	Pavarde673	3.36
Vardas291	Pavarde291	3.36
Vardas987	Pavarde987	3.36
Vardas270	Pavarde270	3.40
Vardas188	Pavarde188	3.40
Vardas358	Pavarde358	3.40
Vardas38	Pavarde38	3.40
Vardas888	Pavarde888	3.40
Vardas656	Pavarde656	3.40
Vardas546	Pavarde546	3.44
Vardas778	Pavarde778	3.44
Vardas51	Pavarde51	3.44
Vardas209	Pavarde209	3.44
Vardas492	Pavarde492	3.48
Vardas448	Pavarde448	3.48
Vardas882	Pavarde882	3.48
Vardas551	Pavarde551	3.48
Vardas293	Pavarde293	3.48
Vardas764	Pavarde764	3.48
Vardas957	Pavarde957	3.52
Vardas781	Pavarde781	3.52
Vardas122	Pavarde122	3.52
Vardas150	Pavarde150	3.52
Vardas754	Pavarde754	3.52
Vardas719	Pavarde719	3.52
Vardas570	Pavarde570	3.52
Vardas860	Pavarde860	3.52
Vardas145	Pavarde145	3.56
Vardas128	Pavarde128	3.60
Vardas451	Pavarde451	3.60
Vardas801	Pavarde801	3.60
Vardas485	Pavarde485	3.60
Vardas805	Pavarde805	3.60
Vardas964	Pavarde964	3.60
Vardas850	Pavarde850	3.64
Vardas260	Pavarde260	3.64
Vardas845	Pavarde845	3.64
Vardas235	Pavarde235	3.68
Vardas532	Pavarde532	3.68
Vardas487	Pavarde487	3.68
Vardas829	Pavarde829	3.68
Vardas774	Pavarde774	3.68
Vardas573	Pavarde573	3.68
Vardas792	Pavarde792	3.68
Vardas78	Pavarde78	3.68
Vardas136	Pavarde136	3.68
Vardas868	Pavarde868	3.72
Vardas645	Pavarde645	3.72
Vardas477	Pavarde477	3.72
Vardas454	Pavarde454	3.72
Vardas571	Pavarde571	3.76
Vardas727	Pavarde727	3.76
Vardas268	Pavarde268	3.76
Vardas804	Pavarde804	3.76
Vardas364	Pavarde364	3.76
Vardas339	Pavarde339	3.76
Vardas769	Pavarde769	3.80
Vardas577	Pavarde577	3.80
Vardas701	Pavarde701	3.80
Vardas865	Pavarde865	3.84
Vardas329	Pavarde329	3.84
Vardas110	Pavarde110	3.84
Vardas360	Pavarde360	3.88
Vardas540	Pavarde540	3.88
Vardas359	Pavarde359	3.88
Vardas971	Pavarde971	3.88
Vardas213	Pavarde213	3.88
Vardas392	Pavarde392	3.88
Vardas192	Pavarde192	3.92
Vardas711	Pavarde711	3.92
Vardas287	Pavarde287	3.92
Vardas552	Pavarde552	3.92
Vardas916	Pavarde916	3.92
Vardas902	Pavarde902	3.96
Vardas502	Pavarde502	3.96
Vardas379	Pavarde379	3.96
Vardas244	Pavarde244	3.96
Vardas579	Pavarde579	3.96
Vardas61	Pavarde61	4.00
Vardas82	Pavarde82	4.00
Vardas446	Pavarde446	4.00
Vardas616	Pavarde616	4.00
Vardas185	Pavarde185	4.00
Vardas837	Pavarde837	4.04
Vardas708	Pavarde708	4.04
Vardas923	Pavarde923	4.04
Vardas535	Pavarde535	4.04
Vardas574	Pavarde574	4.08
Vardas308	Pavarde308	4.08
Vardas389	Pavarde389	4.08
Vardas58	Pavarde58	4.08
Vardas686	Pavarde686	4.08
Vardas17	Pavarde17	4.08
Vardas913	Pavarde913	4.08
Vardas726	Pavarde726	4.12
Vardas516	Pavarde516	4.12
Vardas887	Pavarde887	4.12
Vardas857	Pavarde857	4.12
Vardas132	Pavarde132	4.12
Vardas343	Pavarde343	4.12
Vardas77	Pavarde77	4.16
Vardas572	Pavarde572	4.16
Vardas385	Pavarde385	4.16
Vardas320	Pavarde320	4.16
Vardas500	Pavarde500	4.16
Vardas378	Pavarde378	4.16
Vardas433	Pavarde433	4.20
Vardas889	Pavarde889	4.20
Vardas173	Pavarde173	4.20
Vardas752	Pavarde752	4.20
Vardas305	Pavarde305	4.20
Vardas440	Pavarde440	4.20
Vardas386	Pavarde386	4.20
Vardas937	Pavarde937	4.20
Vardas258	Pavarde258	4.24
Vardas560	Pavarde560	4.24
Vardas37	Pavarde37	4.24
Vardas32	Pavarde32	4.28
Vardas214	Pavarde214	4.28
Vardas352	Pavarde352	4.28
Vardas107	Pavarde107	4.28
Vardas906	Pavarde906	4.28
Vardas236	Pavarde236	4.28
Vardas33	Pavarde33	4.32
Vardas306	Pavarde306	4.32
Vardas717	Pavarde717	4.32
Vardas739	Pavarde739	4.32
Vardas387	Pavarde387	4.32
Vardas867	Pavarde867	4.32
Vardas337	Pavarde337	4.32
Vardas178	Pavarde178	4.32
Vardas428	Pavarde428	4.32
Vardas383	Pavarde383	4.36
Vardas879	Pavarde879	4.36
Vardas1000	Pavarde1000	4.36
Vardas282	Pavarde282	4.36
Vardas777	Pavarde777	4.36
Vardas367	Pavarde367	4.36
Vardas275	Pavarde275	4.40
Vardas152	Pavarde152	4.40
Vardas162	Pavarde162	4.40
Vardas14	Pavarde14	4.40
Vardas210	Pavarde210	4.40
Vardas355	Pavarde355	4.40
Vardas399	Pavarde399	4.40
Vardas586	Pavarde586	4.40
Vardas827	Pavarde827	4.44
Vardas86	Pavarde86	4.44
Vardas46	Pavarde46	4.44
Vardas441	Pavarde441	4.44
Vardas672	Pavarde672	4.44
Vardas816	Pavarde816	4.48
Vardas69	Pavarde69	4.48
Vardas623	Pavarde623	4.48
Vardas596	Pavarde596	4.48
Vardas771	Pavarde771	4.48
Vardas211	Pavarde211	4.48
Vardas27	Pavarde27	4.52
Vardas335	Pavarde335	4.52
Vardas533	Pavarde533	4.52
Vardas659	Pavarde659	4.52
Vardas495	Pavarde495	4.56
Vardas376	Pavarde376	4.56
Vardas348	Pavarde348	4.56
Vardas422	Pavarde422	4.56
Vardas622	Pavarde622	4.60
Vardas808	Pavarde808	4.60
Vardas595	Pavarde595	4.60
Vardas43	Pavarde43	4.64
Vardas856	Pavarde856	4.64
Vardas648	Pavarde648	4.64
Vardas201	Pavarde201	4.64
Vardas470	Pavarde470	4.64
Vardas954	Pavarde954	4.64
Vardas98	Pavarde98	4.64
Vardas202	Pavarde202	4.68
Vardas734	Pavarde734	4.68
Vardas930	Pavarde930	4.68
Vardas830	Pavarde830	4.68
Vardas914	Pavarde914	4.68
Vardas665	Pavarde665	4.72
Vardas621	Pavarde621	4.72
Vardas460	Pavarde460	4.72
Vardas679	Pavarde679	4.76
Vardas828	Pavarde828	4.76
Vardas977	Pavarde977	4.76
Vardas858	Pavarde858	4.76
Vardas147	Pavarde147	4.76
Vardas931	Pavarde931	4.76
Vardas251	Pavarde251	4.76
Vardas4	Pavarde4	4.80
Vardas47	Pavarde47	4.80
Vardas24	Pavarde24	4.80
Vardas670	Pavarde670	4.80
Vardas12	Pavarde12	4.84
Vardas517	Pavarde517	4.84
Vardas370	Pavarde370	4.84
Vardas299	Pavarde299	4.84
Vardas137	Pavarde137	4.88
Vardas196	Pavarde196	4.88
Vardas876	Pavarde876	4.88
Vardas484	Pavarde484	4.88
Vardas590	Pavarde590	4.88
Vardas317	Pavarde317	4.88
Vardas603	Pavarde603	4.88
Vardas177	Pavarde177	4.88
Vardas637	Pavarde637	4.88
Vardas620	Pavarde620	4.88
Vardas862	Pavarde862	4.92
Vardas842	Pavarde842	4.92
Vardas899	Pavarde899	4.92
Vardas955	Pavarde955	4.92
Vardas249	Pavarde249	4.92
Vardas118	Pavarde118	4.92
Vardas231	Pavarde231	4.92
Vardas23	Pavarde23	4.96
Vardas183	Pavarde183	4.96
Vardas296	Pavarde296	4.96
Vardas288	Pavarde288	4.96
Vardas580	Pavarde580	4.96
Vardas104	Pavarde104	4.96
Vardas588	Pavarde588	4.96
Vardas557	Pavarde557	4.96
Vardas991	Pavarde991	4.96
Vardas407	Pavarde407	4.96
